file,category,quantity,size_x_mm,size_y_mm,size_z_mm,print_orientation,support,notes
stl_print/01_integrated_hamster_chassis_HOUSING_MOUNTS.stl,printable,1,97,69.5,39.3,as_exported,"build-plate/local","support only under wheel-arch crowns and optional cargo-shoulder lips; includes four D3.4 housing holes; 6 mm brim"
stl_print/02_jaw_left_UNCHANGED.stl,printable,1,32.3471,37.3111,23,as_exported,none,"geometry-identical to v0.4"
stl_print/03_jaw_right_UNCHANGED.stl,printable,1,32.3471,37.3111,23,as_exported,none,"geometry-identical to v0.4"
stl_print/04_slider_yoke_UNCHANGED.stl,printable,1,49,5,2.5,as_exported,none,"geometry-identical to v0.4"
stl_print/05_link_x2_UNCHANGED.stl,printable,2,13,5,2.5,as_exported,none,"print twice; geometry-identical to v0.4"
stl_print/06_front_servo_mount_UNCHANGED.stl,printable,1,47.5,16,45.5,as_exported,"build-plate/local","support only below yoke passage; geometry-identical to v0.4"
stl_print/07_cargo_magazine_UNCHANGED.stl,printable,1,77.4,38.7,50,as_exported,none,"geometry-identical to v0.4"
stl_print/08_rear_dump_gate_KICK_CAM_UNCHANGED.stl,printable,1,31.6,53,10.7539,as_exported,"build-plate/local","support below hinge barrel/cam; geometry-identical to v0.4"
stl_print/09_dump_servo_mount_UNCHANGED.stl,printable,1,18.7,24.6,32,as_exported,none,"geometry-identical to v0.4; measure actual servo"
stl_print/10_removable_upper_housing.stl,printable,1,79,42.4724,18,as_exported,"build-plate/local","organic/tree support under inner front roof and four horizontal bosses; 55 degree threshold; 0.20 mm top Z gap; 0.6 mm XY gap; 10-12 percent density; 3 interface layers; 6 mm brim"
reference/cargo_box_25x25x20_REFERENCE_ONLY.stl,reference_only,0,25,25,20,as_exported,none,"do not print as a robot part"
reference/patient_cylinder_30x20_REFERENCE_ONLY.stl,reference_only,0,30,30,20,as_exported,none,"do not print as a robot part"
reference/wheel_34x9_REFERENCE_ONLY.stl,reference_only,0,34,34,9,as_exported,none,"nominal wheel envelope only; confirm actual Hamster wheel"
